Names	total	elements
CB EC FC TC	2	KCNJ6
		NCRNA00028
CB EC FC	6	MIR302C
		SRPX2
		MCHR2
		CSNK1D
		MN1
		SPATA5
CB EC TC	11	FOXG1
		IFNGR2
		ESP33
		DLG1
		LACRT
		CD70
		RNPS1
		TMEM54
		SLFN12L
		C14orf105
		ZNF644
CB FC TC	2	TEX13A
		VNN2
EC FC TC	12	NANOS3
		MCF2L
		MIR1269
		FAM171A1
		CD63
		FLJ45983
		AGXT2L1
		FAM181A
		APC2
		FAM83G
		KIAA2013
		PNLIPRP1
CB EC	66	NARG2
		GYPC
		PREP
		MAN2B1
		KIAA1012
		BATF2
		C12orf67
		HBE1
		MGC72104
		DAGLA
		MAGEA12
		C9orf123
		DTNA
		KLRB1
		HMGB1
		MOBKL1B
		ACBD5
		C3orf17
		UNQ6975
		SMPX
		KIAA1737
		UHRF1BP1
		SPACA5
		BTN1A1
		PSAT1
		MIR509-3
		FAM75A2
		KIAA1191
		NEUROG1
		OR52E8
		ZCCHC16
		MACROD1
		YME1L1
		ZNF75A
		PSMD3
		RGPD5
		FAM71E2
		SRD5A2
		MIR877
		KCTD10
		NGFR
		GAPDHL6
		PTPRV
		RAB9B
		SRD5A3
		GPX8
		NTNG1
		A2LD1
		UCHL5IP
		OAZ3
		PNPLA7
		C21orf90
		MACROD2
		GSTA4
		KRTAP11-1
		IL31RA
		PRPF6
		PDPR
		MIR1206
		SIAH1
		NFASC
		ZNF451
		ZNF100
		LMX1B
		HSPG2
		LMBR1
CB FC	49	DLEU7
		COPS7A
		CCDC66
		FOXE1
		ARID1B
		GRAMD1B
		PAAF1
		PRRG3
		ZSCAN20
		FBXL4
		C1orf86
		RNASEK
		CYP2A6
		CLUL1
		IRG1
		KCNH8
		FAM21D
		C1D
		SPON2
		DGCR6
		B3GALT1
		MRPS28
		MPDU1
		PTDSS1
		ACTR3B
		VPREB1
		POU6F2
		EVI2B
		NR2C1
		ANKRD53
		MORF4L1
		ATXN7L2
		ARF1
		RPS19BP1
		HILS1
		P2RY1
		MIR549
		FN3KRP
		PCDHB2
		TWF2
		CRTC2
		C12orf57
		PMS2L11
		PIWIL4
		SBF2
		SPINT1
		WSCD2
		RPL13A
		CABLES1
CB TC	27	DEFB133
		TNS3
		C6orf12
		TMEM232
		TEKT3
		KIAA1843
		NIPSNAP3A
		MIR148B
		PRSS16
		DDX60L
		CLDN8
		ALDH3B1
		EEF1G
		PELI2
		ERCC-00067
		ZNF354A
		dJ341D10.1
		LPHN3
		UBASH3B
		PPA2
		OR51D1
		CDKL5
		SLC39A1
		CD3E
		SNORA27
		TMEM173
		PTPRA
EC FC	96	GLT1D1
		RAB1B
		THRAP3
		RPL7A
		KRTAP5-2
		FAM90A6P
		CAMTA1
