Names	total	elements
CB EC FC TC	1	PBXIP1
CB EC FC	6	PBEF1
		MIR138-2
		TMEM232
		NEUROG1
		RBL1
		MIR302C
CB EC TC	6	FOXG1
		GLB1L
		INPP5F
		OR2L2
		CTRB1
		GABARAPL2
CB FC TC	1	EGFL8
EC FC TC	173	GGT3P
		CRNKL1
		MIR515-2
		DKFZp434E1119
		MT1JP
		KRTAP5-2
		INTS1
		CAMTA1
		EPHA4
		B3Gn-T6
		XPC
		HDHD2
		MAGEB6
		FLJ41423
		PARG
		CHRNB1
		NXF4
		EHD2
		TTTY18
		C17orf93
		TMEM205
		MCF2L
		GRM3
		Septin 7
		ZDHHC7
		ELFN2
		C14orf133
		RAB2B
		TARS2
		TBL1XR1
		GRIK3
		FAM9A
		ZNF567
		FLJ12529
		FAM46C
		MCPH1
		HIST1H3J
		CLEC9A
		HRSP12
		TMEM147
		GNB3
		DBNL
		SLC22A18AS
		IRF1
		MAML2
		PLUNC
		MRPL33
		HMCN1
		GDI1
		PDXK
		N4BP2
		VPS36
		ANGEL1
		NR1H2
		CD226
		DPYSL5
		UACA
		SETD5
		C11orf55
		LYPLA2
		AFM
		C6orf125
		ZBTB6
		CUL1
		PRKAA2
		LRRC52
		MAPK6
		RIN3
		C16orf13
		PSAT1
		CD63
		TOP2A
		TXNDC14
		KLF14
		SLC29A2
		MATN2
		ZNF431
		NDUFA9
		RUNDC3A
		RNF44
		OR4D1
		DMP1
		PPP1R14A
		UGT2B17
		C21orf96
		SNORD67
		PLEKHG7
		PSMD3
		XRCC6BP1
		GABRQ
		C6orf62
		FLJ20309
		FCAR
		ARHGAP12
		OTOF
		DEFB121
		ANAPC10
		FLJ37307
		MAPK1
		TMEM166
		IQCE
		THOC4
		MYEOV
		CXCR3
		PRICKLE4
		OPCML
		LUZP5
		IKZF4
		TMEM14D
		UBE2Z
		MGC62100
		PSMC5
		FIZ1
		ADAM17
		USP36
		PPIC
		C5orf22
		CBLC
		PMCHL1
		OR1S2
		ZNF364
		FAM5C
		FAM151B
		TOPBP1
		CXorf24
		KDELC2
		AMBP
		CHST1
		GAN
		HSPB3
		FAM135B
		CFH
		NBPF20
		RAB27B
		FN3KRP
		TMC8
		ZNF221
		CYC1
		TNMD
		SLC4A2
		OBSCN
		NAT13
		ASPHD1
		ALKBH4
		LEAP-2
		HLA-DRB6
		ATP5SL
		RPL21
		CDH16
		SORBS1
		ZNF451
		C15orf63
		VHLL
		RIPK1
		ZNF674
		LGALS9
		SNORD80
		BCAS1
		LDLRAD3
		PROM1
		SMC5
		LRRC3
		FLJ46257
		KIAA2013
		WBSCR28
		LILRA3
		PNLIPRP1
		TMSB4X
		ZNF398
		TULP3
		ABCB8
		C19orf16
		C14orf101
CB EC	16	SFTA2
		PMF1
		GJA9
		UPF2
		BMS1P5
		CCDC137
		CLUL1
		ACPP
		CFHR2
		MTMR3
		DAAM1
		KCTD10
		RAB9B
		BAI3
		TBX20
		WDR67
CB FC	7	ABRA
		VAX2
		IRG1
		LCE3B
		TNKS1BP1
		C11orf21
		OR2T35
CB TC	12	LHX5
		ACTC1
		CRP
		FAM71E2
		MRPS28
		RIC8A
		SNORD55
		MIR208A
		RGL3
		CPNE8
		FLJ39080
		CSF2
EC FC	140	NAGPA
		OR2V2
		C7orf44
		GABPAP
		DIMT1L
		LRGUK
		C1QL1
		RGS4
		GNRHR
		ANKLE2
		PTPRH
		FETUB
		WNT6
		FKBP1P1
		TALDO1
		CCDC144A
		TAF1D
		BHLHB3
		C12orf48
		ADAMTS17
		KRT86
		C9orf93
		GRID1
		ATP11B
		FLJ45832
		ZNF409
		FASTKD5
		DPY19L2P1
		ZSCAN21
		C7orf68
		ARMCX1
		SOX6
		DDX17
		NEURL
		CCRL1
		DKFZp761P0423
		MAGOH
		C22orf39
		C9orf123
		MAGEB10
		NARS
		ODF4
		RAC2
		PRICKLE3
		PAFAH1B1
		ERMP1
		ALDH1A2
		SSR3
		MAP4K1
		PRPF4B
		NHP2
		MOBKL3
		MAN1C1
		SNORD44
		MAP7D2
		C4orf33
		MIR581
		TLR3
		MRPL18
		PHCA
		MCOLN1
		KIAA1191
		SLC25A19
		DYNC1I1
		TREH
		CACYBP
		GPX5
		SHARPIN
		RPGR
		PNO1
		SNORD74
		CNIH3
		PAQR9
		NRSN2
		SPOCK1
		HMSD
		GAPDHS
		GLTP
		PLA2G2C
		SNORD19B
		ZNF131
		PAPOLA
		PRAMEF15
		SLC25A21
		RGPD5
		NKTR
		NGFR
		BRSK1
		C1orf91
		ACAA2
		PWWP2A
		SSFA2
		C1orf173
		NGEF
		GDNF
		tAKR
		C8orf46
		RRP1
		C10orf137
		FLJ35894
		VWC2
		RIPPLY1
		WBP11P1
		TXNL4B
		NPVF
		TOLLIP
		IL18R1
		TAS2R60
		MRPS35
		STOML1
		ARGFXP2
		ZW10
		S100G
		NYNRIN
		TREML4
		SFRS2IP
		MAN2A1
		CSNK1D
		TRIB1
		RALGDS
		CMTM6
		EIF4G1
		SMYD4
		TCP11
		SMARCD2
		FOXRED2
		FGF7
		MB
		SGCA
		OR1A1
		JARID1D
		C11orf63
		SNORA28
		ARMET
		CISD1
		KLHL17
		C7orf34
		SOX11
		CLDND2
		PHF10
EC TC	643	AACS
		FAM38B
		GLT1D1
		RAB1B
		MMP7
		CENPQ
		CACNG5
		CYP2F1
		LUZP1
		USP6NL
		ROCK2
		MIR1228
		NCOR2
		ZDHHC6
		DLX6AS
		PSMG4
		B3GNT7
		FCN1
		ATP11C
		CARD8
		SEC1
		C1orf157
		SLC13A4
		TMEM104
		TACR1
		PAQR8
		THAP1
		PCDH18
		CHST6
		UNC13B
		C17orf85
		CHRM1
		NANOS3
		TMEM11
		NQO2
		TPBG
		AGTPBP1
		OR2A9P
		PBLD
		EIF4A3
		SFRS6
		LGALS7B
		C20orf173
		MIR379
		CD151
		KLHL6
		NENF
		MIR1302-3
		VRK2
		SEMA3G
		STOML3
		CPVL
		SNORD91A
		FAM177A1
		FAM9B
		TFE3
		OR11L1
		FAM120A
		PCDHGA10
		SERP1
		RFNG
		JAK2
		C1orf115
		PLEKHM3
		SNORA26
		RPS29
		PFTK1
		C19orf22
		FKBP5
		KIAA0368
		CMKLR1
		HMBOX1
		C1QTNF2
		MUC20
		GPX2
		DNAJC4
		RBP7
		DEFA5
		RNF43
		KIAA1906
		EEF2K
		MCAT
		RPLP2
		TSTD1
		SP4
		PIGT
		C9orf135
		SPATA16
		GLTPD2
		JCLN
		DPP6
		CKS2
		C14orf50
		FH
		FBS1
