Names	total	elements
CB EC FC TC	7	GATA1
		MIR138-2
		CREB1
		TMEM232
		TOP2A
		PRUNE
		PTH2R
CB EC FC	1	FNDC3B
CB EC TC	14	DIMT1L
		RRAGC
		NSUN5
		SPHAR
		QRICH2
		MED31
		PDZRN4
		ZNF326
		FLJ22184
		LRIG2
		MAP1LC3B
		SNORD55
		PRR10
		FLJ39080
CB FC TC	1	CAPS
EC FC TC	47	OR2K2
		CENPQ
		KCNQ5
		TMOD2
		TBC1D16
		TARS2
		ERCC-00043
		METAP2
		FAM46C
		MCPH1
		HIST1H3J
		HRSP12
		STT3A
		KATNAL1
		DYNC1LI2
		RDH5
		FAM105A
		ELK1
		RIN3
		KIAA1529
		PSAT1
		ZNF226
		KCTD7
		HLA-B
		C3orf50
		PNO1
		CTSH
		SDCBP2
		KPNA7
		DMP1
		PPP1R14A
		ZNF131
		UCMA
		PNLDC1
		MPDU1
		RRP1
		TLR7
		IKZF4
		PPIC
		KRTAP5-7
		CXorf24
		ADORA2A
		RBMY1J
		C11orf21
		DVL3
		RIPK1
		BCAS1
CB EC	38	UNQ9433
		GJA9
		FBXO3
		RABAC1
		RTN4IP1
		CELA3B
		SGSH
		ALKBH5
		IL17B
		ABL2
		MIR551A
		HNF1A
		MIR655
		NME2
		WDR52
		C12orf47
		RAB2A
		PIGX
		ORAI3
		TMEM87B
		FLJ38377
		GGH
		MIR1296
		AASS
		OR2L2
		BMP1
		ARPC1B
		SLC26A8
		TRIM3
		CFHR4
		PGM5P2
		ANO7
		SYS1
		AMH
		OR5T3
		PARD3
		OR51G1
		WDR66
CB FC	19	DPY30
		VWA5A
		GNRHR
		FKBP1P1
		DPYSL4
		C1orf125
		ZSCAN21
		CELA2B
		NCCRP1
		PEX13
		OR51T1
		KIF13B
		CFHR2
		MTMR3
		EIF2B2
		PLOD2
		STX2
		FLJ35934
		RPRML
CB TC	39	C11orf88
		TNXB
		RHOH
		C9orf21
		LRP8
		MGC39372
		EPO
		TYMP
		OLFM1
		SLC43A3
		SIM1
		ARFIP2
		FASLG
		HOXC12
		PTPN21
		LGALS9C
		CAMK1D
		CLDN8
		TMEM93
		KRT5
		PHACS
		MLC1
		HERPUD2
		PELI2
		MIR132
		KCNA1
		NCRNA00028
		MNT
		PRKCQ
		C17orf97
		ZNF285B
		SMAGP
		MC1R
		CCK
		CCDC68
		AP1GBP1
		FLJ20297
		DKFZP564C196
		VIPR1
EC FC	142	PFKP
		DLEU7
		TOB2
		CTAGE5
		TMEM19
		MT1JP
		KIAA0773
		PMF1
		VAX2
		USP42
		TTLL4
		LGALS7B
		NDUFA13
		CHRNB1
		SNORD91A
		BTBD9
		DDX50
		PPP1R15A
		RINT1
		SNORD90
		RTP2
		ZNF317
		TMEM196
		UPB1
		PSMD6
		ASH2L
		PTGFRN
		PBXIP1
		ZNF660
		C22orf39
		ZNF689
		CLCA3
		KCTD14
		SLC22A18AS
		DSP
		TTTY1
		PRICKLE3
		HMCN1
		PDXK
		N4BP2
		ALDH1A2
		CYP2A6
		VLDLR
		SPR
		UACA
		FAM190B
		LYPLA2
		ACPP
		KEAP1
		IVD
		C9orf114
		TBC1D3F
		GADD45G
		MCOLN1
		CCDC53
		GRIK5
		ORMDL2
		PRSS23
		NHLRC4
		C1D
		TDGF1
		ADAD2
		RPGR
		GNAT2
		COL5A1
		APOA1
		KHDRBS1
		DLX1
		PDIA4
		PGD
		NTF5
		COX7A2L
		PAPOLA
		UGT2B17
		UTF1
		BZRAP1
		CYP2C19
		C21orf96
		C3orf46
		RGPD5
		XRCC6BP1
		CMYA5
		KRTAP6-2
		CPZ
		SSFA2
		TMED3
		IFNA7
		GDNF
		VPREB1
		C6orf222
		C10orf137
		EHD4
		ESCO1
		STIP1
		HHLA1
		FAM7A2
		RNASE1
		ADAMTS3
		USP36
		CPS1
		OR6N1
		RAB9A
		C5orf22
		TOLLIP
		CBLC
		SFRS12IP1
		FAM71D
		FLJ41352
		FAM151B
		SEMA3A
		FAM7A3
		C4orf48
		PARP11
		WDR24
		AMY2A
		MEGF9
		NAT13
		ASPHD1
		ERI2
		ANKRD24
		AKAP4
		TMEM194B
		DNAJC6
		PSMA4
		OGT
		SS18
		PNRC2
		C2orf54
		OR1A1
		VHLL
		EIF2A
		CYLD
		LGI3
		CCL21
		C11orf63
		GLT25D2
		OXSR1
		OR51A4
		C3orf35
		VPS13C
		C12orf8
		VPS13B
EC TC	220	SMARCD3
		NHLRC3
		SOD2
		TMEM180
		ROCK2
		ZNF212
		C19orf43
		SMUG1
		OR4A47
		ORM1
		ALAD
		RICTOR
		TACR1
		UNG
		FAM18B
		ACAD11
		PIGL
		JUND
		TSP50
		SNORA18
		TALDO1
		SPINT4
		BAIAP2L2
		GPM6A
		SYNPO2L
		C2orf52
		FNDC4
		SRP14
		MIR222
		FLJ10781
		GBE1
		CCL3L1
		VSTM2A
		HIST1H2AB
		LEKR1
		RPL35A
		NONO
		CFDP1
		TPPP
		UBAP2
		LRIT3
		FAM59B
		ZNF280D
		HMGB1
		BID
		RTDR1
		OR6C70
		ZNF230
		ARHGEF12
		KIFAP3
		C11orf34
		ISL2
		FAM69B
		NHP2
		ABTB2
		STX7
		ADO
		MIR450A1
		GBP2
		C1orf52
		GRHPR
		KAT2A
		MFSD1
		FXR1
		ZP3
		FLJ37228
		VDR
		CXorf57
		SPRR2A
		OR11H1
		TXNDC14
		TSEN34
		OR2L8
		EFCAB6
		C15orf49
		FLJ46154
		IMPG1
		ZNF185
		RBMX
		C9orf5
		PGC
		TTC6
		ACSL6
		EFNA3
		C10orf39
		ZNF28
		MAGEB4
