Names	total	elements
EC_GSE118553 EC_GSE131617 EC_GSE5281	8	SLC46A3
		ADAMTSL1
		PPP4C
		ZC3H6
		SEC62
		TSSK2
		KLHDC10
		NDUFA10
EC_GSE131617 EC_GSE5281	75	CA11
		DDX49
		PPBP
		RCAN1
		LGR5
		RALB
		SLCO1C1
		ADCYAP1
		PDLIM1
		NEO1
		ERP27
		C3orf58
		EXO1
		EIF3I
		ACTN1
		FBXL4
		MLYCD
		RGS16
		FANCL
		ZNF721
		COLGALT2
		PDC
		ELP5
		NFIX
		UTP3
		SLC39A3
		RAB9BP1
		PPA1
		TFPI2
		ABHD16A
		ATP13A1
		LBX1
		INE1
		POGZ
		OXTR
		DIDO1
		PNOC
		STK40
		FRYL
		IL1RL2
		OSBPL10
		TEX2
		EAF1
		TBC1D10A
		PNISR
		COL4A2
		SP2
		ZCCHC11
		MANBA
		PIGC
		CD1D
		DEFB1
		PHF3
		BRMS1
		APLNR
		MYL6
		CETN1
		SMIM12
		GATAD1
		ASPA
		GID8
		RAB36
		ATF7IP
		ZNF394
		DPP3
		PPEF1
		DDRGK1
		XAGE3
		KIF20A
		TTPAL
		NLGN4Y
		ZNF385A
		GATAD2B
		GRAMD3
		ARMCX2
EC_GSE118553 EC_GSE5281	125	AACS
		TBX10
		LARP7
		DNAH11
		THAP1
		PTGER1
		KIF25
		SEMA3G
		MUC20
		ZNF839
		FGF22
		SP4
		CBX2
		KRT9
		MFGE8
		BIRC6
		MDM2
		EFHD2
		GIF
		KLHL31
		CRIP1
		KIAA0125
		RPL35A
		MAGEA12
		N4BP2L1
		MYLK3
		FKBP6
		AMHR2
		ATOX1
		FBXO27
		YOD1
		ZNF117
		ANAPC13
		ZNF641
		TRPC7
		STUB1
		NHP2
		PRLH
		SRBD1
		CD226
		ADO
		TMEM214
		GBP2
		FCHSD2
		GCHFR
		C3orf27
		EPOR
		TPRG1
		ORMDL2
		ANK1
		C9orf38
		SPATA2L
		DNAJB5
		FAM162A
		IER3IP1
		DOCK3
		DLAT
		PDIA4
		TTC38
		SRY
		KCNK16
		ANKS4B
		HERC2
		CCDC153
		RING1
		NBPF8
		KRT37
		MMP20
		LCN1
		PWWP2A
		NEK10
		ANAPC10
		RPH3A
		BIN1
		DYRK3
		PHC1
		TLN2
		CLSTN3
		ATP5J
		CYP3A43
		IKZF4
		ARPC4
		ABCA9
		ADAM17
		NCOA2
		FAM181A
		GPR68
		WDYHV1
		SF3B3
		MTFR1
		MED20
		ARNT
		COPZ1
		ODF3L2
		HOXB3
		CFH
		PRDM4
		CACNA1B
		C19orf45
		TMEM165
		VAPA
		NBPF20
		PRPF6
		SOX3
		CSF3
		TREML4
		IL3
		AK2
		PARP1
		ZNF276
		RORA
		FBXL15
		CD24
		HTR1B
		RIPK1
		PAFAH1B2
		NVL
		CRTC3
		SMR3B
		TMSB4X
		SERPINI2
		CASK
		APOL3
		GORASP1
		ATP10B
EC_GSE118553 EC_GSE131617	221	CREB3L1
		EP300
		CACNG5
		SLC12A4
		CRYGC
		EMX2
		ALAD
		TACR1
		XPC
		PBLD
		EIF4A3
		MRTO4
		MYF5
		C5
		CMA1
		HBP1
		KIAA0319L
		HNRNPK
		WIF1
		CMKLR1
		FAM122B
		FBXL5
		NRSN1
		ULBP1
		OTUB2
		MCAT
		OR52N1
		IL1RAPL1
		KRTAP13-2
		EFR3B
		ARHGDIB
		NUTF2
		LALBA
		NRN1
		FAM171B
		TLR10
		ACOT11
		MSRB2
		PCNP
		ROPN1B
		ZNF624
		MRPL14
		KCNG3
		KLF5
		C14orf93
		CABIN1
		PTPN6
		CANT1
		DDX17
		MED31
		ZNF263
		LEKR1
		SHPK
		C14orf119
		OTC
		WFDC10B
		NEK9
		LBH
		MAP2K3
		NARS
		TMEM147
		KCNS3
		HIST2H2BE
		ZNF280D
		TM9SF1
		ARHGAP17
		PRTFDC1
		MAP3K14
		PIH1D1
		GLB1L
		RPS13
		ALDH1A2
		AHCY
		CST9
		LLGL1
		ASPH
		UBR5
		MPV17L2
		PLS1
		CSNK1G2
		LDHA
		ABI3BP
		EIF3F
		C1orf87
		MAP4K5
		KIF3B
		PSME1
		TNFAIP1
		UBXN8
		PCDHB7
		SERGEF
		RANBP3L
		ZNF619
		B3GNT4
		AKAP1
		SP1
		RBM42
		MT4
		NBPF10
		SLC1A1
		PSAT1
		DCTPP1
		RRM2
		ALDH1A1
		C1D
		ACAD10
		SLC25A19
		MLLT10
		AMOTL1
		NFKBIE
		KCTD7
		SERPINB10
		FABP4
		CANX
		TIMM13
		PNO1
		WNK1
		MEX3C
		ANKRD55
		JUN
		MTMR3
		NUP62
		ZNF600
		CDCA8
		ZNF684
		NSMCE4A
		CD2BP2
		C1orf174
		IP6K1
		EFHC1
		LIF
		CARS
		NKTR
		CBX6
		OR5K1
		ASXL2
		HAS2
		CST11
		SST
		ZNF514
		GAP43
		GPR182
		TSPAN31
		SSFA2
		SDS
		UBASH3B
		ZNF555
		CTLA4
		SLC38A3
		OPCML
		NSUN6
		TRPC6
		ZFP2
		NTNG1
		RNPS1
		LHFPL5
		SLN
		RELB
		CAT
		PTPRM
		LDB1
		IL1B
		RPS25
		KDSR
		TIA1
		SLC22A4
		RNF141
		PKD2
		GAN
		HIST1H3B
		LSM14A
		LRFN3
		RCOR3
		IL31RA
		NPTX2
		WARS
		TPRXL
		CDH26
		ZNF644
