Names	total	elements
FC_GSE118553 FC_GSE131617 SFG_GSE5281	1	HIST1H4A
FC_GSE118553 SFG_GSE5281	23	TMC4
		SPN
		HS2ST1
		ABHD12
		PTGER1
		AKR1C4
		HIPK3
		PSD4
		FBXW7
		TOMM5
		GTPBP6
		MTCP1
		TOP2B
		KLK3
		MYL4
		STOML1
		IL3
		FAF2
		KRT14
		ZNF394
		SLITRK5
		LPAR5
		COL5A1
FC_GSE131617 SFG_GSE5281	7	PNOC
		NFATC3
		EHF
		ATF7IP
		OR51M1
		OR2J3
		IFNA1
FC_GSE118553 FC_GSE131617	103	DPY30
		RPL19
		RPS5
		MED13L
		DIP2A
		LPAR4
		ZCRB1
		SMYD3
		RAD23B
		A2ML1
		C7orf33
		RIN2
		SMAD9
		XPC
		HDHD2
		RBM44
		ASAH1
		MEGF10
		EGF
		TRIL
		TCEAL6
		DCT
		ZNF677
		GPR160
		GYG2
		ADCYAP1R1
		CDH20
		HNRNPH1
		OR4K14
		ATPIF1
		OR51B2
		CFL1
		ZNF211
		RAB32
		RUNX2
		EIF1AY
		C2orf15
		CA5B
		TIRAP
		RBM39
		IL1B
		COL24A1
		POLR3GL
		MON1A
		PMCHL1
		HINT1
		NARS
		RPL14
		HSD17B6
		PPP1R7
		ZNF652
		COG7
		DBNL
		NBEAL1
		NDST1
		TTTY15
		GAN
		SLC15A4
		JTB
		DYNC1LI2
		ARF1
		RHOA
		ATP13A4
		C11orf58
		CRHR2
		GJA4
		TUFT1
		INSL5
		TBC1D20
		NAP1L4
		UACA
		MEGF9
		RIMKLB
		USP53
		ERI2
		IVD
		HNRNPC
		FAM71C
		SMR3A
		ACSS1
		MRPL18
		FOXRED2
		TTC28
		OR8H3
		C14orf1
		KHDRBS3
		C1D
		SNX3
		GOLIM4
		METTL7A
		PCDH9
		ORAI2
		DENND4C
		CANX
		GNAT2
		CBX5
		KHDRBS1
		RETSAT
		SYT9
		MTMR3
		AMELY
		LCE4A
		GRAMD3
SFG_GSE5281	212	MSL1
		DUTP1 /// DUTP1
		LEP
		CCL22
		SAAL1
		TGM7
		CCDC11
		LARP7
		IGH
		CA11
		TRAF5
		HTR7
		HIST1H1E
		BIN3-IT1
		LOC101926913
		BARX2
		POGZ
		ZNF334
		DDX49
		BAMBI
		KDM2A
		LRRC48
		MNX1-AS1
		FZD8 /// MIR4683
		CHMP7
		MMP20
		CHRNA2
		PROX1
		KIF25
		GNRH1
		WIPI2
		SLC25A34
		LOC101928751
		SAFB2
		ZFPL1
		PCED1A
		LOC102724312
		CMKLR1
		KCNAB1
		FAM21A /// FAM21C /// LOC101930591
		MRPL51 /// SPTLC1
		STX5
		FCRLB
		RP11-796E2.4
		AHCTF1
		HIST1H2AD /// HIST1H3D
		ZNF780B
		SLC35A1
		NUF2
		AGPAT6
		LOC101928739
		AL832909 /// LINC00984
		LOC101929450
		ZNF767P
		LOC101060363 /// PPIA
		CXCR1
		CNTD1
		ATP9A
		DHX8
		KLHDC3
		DUX1 /// DUX3 /// DUX5
		TFAP4
		FCHO1
		RP11-560A15.4
		HOXD10
		TMX3
		LOC101928076
		LINC00858
		NRGN
		GIF
		COMP
		TUBA1C
		RP11-123K19.2
		ADH4
		MKRN7P
		COL16A1
		AL831948 /// RP1-197B17.3
		BC069004
		PCDH17
		ABCA9
		BTNL2
		LRCH1
		EXOSC4
		TTTY13
		MAGEA11
		FCGR1A /// FCGR1B /// FCGR1C
		C1orf228
		PKP3
		IDE
		ALKBH6
		PRELP
		ADNP2
		RP4-675G8.2
		XKR4
		CCDC126
		RP3-406A7.7
		CHST3
		PSD3
		LOC101927273
		LOC101928618
		ZNF554
		ZNF177 /// ZNF559-ZNF177
		SOS1
		ATXN7L1
		RTP3
		C14orf23
		LINC00355
		DOCK4-AS1
		MCRS1
		ST6GALNAC5
		LNPEP
		RHD
		CACNB3
		LOC101927783
		LCT
		KCNA2
		MINK1
		EZH2
		KIFAP3
		C9orf37
		DTX3L
		IPO8
		FRG1 /// FRG1B /// LOC100134091 /// LOC100289097 /// LOC101930278 /// LOC101930531 /// LOC102724923
		LRRC37A2
		LINC00708
		CENPH
		S100A5
		HOXB3
		CTSV
		CSTL1
		ZRSR2
		PRRG4
		MYO16
		4-Sep
		ECM1
		HOXA3
		KIAA1549L
		CEP162
		KRTAP2-3 /// KRTAP2-4
		SNRPE
		GAS2L3
		CWF19L1
		PLA2G4A
		GATAD1
		MIR6789 /// PLEKHJ1
		LOC283674
		IL22
		MPP2
		TRPC2
		VPS33B
		LINC00561
		NR6A1
		DSG1
		AMACR
		ZNF444
