Names	total	elements
EC_I-II_0.txt FC_I-II_0.txt TC_I-II_0.txt	57	DCHS2
		RPL19
		RPS5
		ILF2
		COL21A1
		ARF1
		RHOA
		C11orf58
		EIF4A3
		RTCB
		MT1G
		YY1
		PARK7
		EIF3D
		PSMB2
		WARS
		LOC100996333
		KXD1
		NPAS4
		IK
		ERH
		ETNPPL
		HMOX1
		HNRNPD
		LOC100129518
		PFKFB2
		FAM198B
		ABCF1
		SEPT2
		PRPF8
		HNRNPM
		FMO5
		SART1
		C1D
		TARDBP
		SNX3
		ANAPC5
		GDI2
		RNPS1
		SRSF9
		CBX3
		TCEB2
		NONO
		SART3
		USP22
		ARF3
		CNPPD1
		SPAG7
		RETSAT
		HINT1
		NARS
		ATP6V0E1
		KAT7
		ZNF259P1
		LOC101929735
		LOC100288358
		STARD7
EC_I-II_0.txt FC_I-II_0.txt	16	SLC25A3
		DMC1
		RGS16
		UBQLN4
		PTPRB
		PCCB
		SRP14
		RANBP3L
		WBP2NL
		AKAP1
		SLC6A1
		CAPNS1
		KRT6C
		GGCX
		MEST
		HAP1
EC_I-II_0.txt TC_I-II_0.txt	36	RNF122
		OGDH
		GRB2
		RPS27A
		GMFG
		METTL21A
		AHCYL2
		MT1M
		ATP13A4
		RPS13
		GABBR1
		TRIL
		SERTAD1
		NOP16
		FLNB
		ZWINT
		PER3
		RPL27
		LSAMP
		HNRNPC
		NAMPT
		PRMT5
		APOPT1
		PCDH10
		RPL9
		PTPN6
		ATP6V1G2-DDX39B
		ENO1
		FNTA
		KCTD7
		CANX
		PSMC3
		MAMDC2
		CRYGA
		PDGFC
		NADK2
FC_I-II_0.txt TC_I-II_0.txt	47	DDX5
		RPL12
		TPCN1
		SLC40A1
		SIPA1L2
		MFAP5
		ENHO
		TM7SF2
		ZNRD1
		ANTXR1
		GM2A
		HNRNPK
		MARCH3
		ABI3BP
		TMED2
		WWOX
		LYPD6
		ACSS1
		SPAG5
		NEK5
		ACSBG1
		PAMR1
		TMEM198B
		SP140
		CD52
		OR56B1
		HDAC11
		GOLIM4
		DGKA
		CCR10
		SSSCA1
		SSPN
		SLC39A11
		FAXDC2
		ANKRD27
		SEMA5A
		SNRNP200
		PYGM
		KHDRBS1
		LARP4B
		SLC14A1
		PHYHD1
		SUOX
		RFTN2
		ADARB2
		PAH
		METTL1
EC_I-II_0.txt	506	MSRB1
		RPS11
		USP29
		DNASE1
		TTC143
		RPL17-C18orf32
		ZNF684
		TBCB
		C9orf78
		UQCR11
		DAZAP1
		XAB2
		LILRB2
		PLCB2
		ZG16
		SPTLC1
		TCF25
		CTNNBL1
		CD2BP2
		PTRHD1
		CD4
