Names	total	elements
EC_III-IV_0.txt FC_III-IV_0.txt TC_V-VI_0.txt	36	STK26
		COL21A1
		RHOA
		ATP13A4
		EIF4A3
		RTCB
		YY1
		TRIL
		PARK7
		EIF3D
		LOC100996333
		ABI3BP
		GYPA
		IK
		LOC100129518
		CAPNS1
		ABCF1
		HNRNPM
		C1D
		ANAPC5
		CA8
		RNPS1
		CBX3
		TCEB2
		SART3
		USP22
		ARF3
		KHDRBS1
		PHYHD1
		NARS
		ATP6V0E1
		KAT7
		ZNF259P1
		SLC18B1
		LOC101929735
		LOC100288358
EC_III-IV_0.txt FC_III-IV_0.txt	39	USP29
		RNF122
		GJA1
		RGS16
		DEFA4
		ATF3
		GAN
		PTMS
		LIF
		METTL21A
		ZNF552
		ARF1
		AHCYL2
		WDR88
		NEBL
		AHCYL1
		ASPH
		EGF
		NPAS4
		INPP5B
		TBC1D4
		HNRNPD
		RANBP3L
		WBP2NL
		FAM198B
		JUNB
		CORO1A
		ATP6V1G2-DDX39B
		NACC1
		PCDH9
		SRSF9
		CA5B
		PTPRM
		SLC39A11
		IL1B
		SLC14A1
		LOC100128401
		GRAMD3
		CH25H
EC_III-IV_0.txt TC_V-VI_0.txt	57	DCHS2
		RPL19
		RPS5
		ZDHHC16
		BRMS1
		ALDH18A1
		BDNF
		RPS27A
		LAGE3
		C1/C2
		NR2C2
		FTL
		PLSCR4
		SLC4A5
		PCBP3-OT1
		CARS2
		KXD1
		NOP16
		SPRED1
		GCH1
		ITGB8
		TMED2
		FAM228B
		CRTAP
		CREM
		LSAMP
		BANF1
		B3GAT2
		EEF1A2
		ARHGDIB
		MLX
		AGO1
		NAMPT
		CT45A10
		PRMT5
		PDLIM1
		SRPRB
		SART1
		ISG20
		APLN
		LRRC59
		SNX3
		GOLIM4
		SDF2
		GDI2
		XBP1
		CANX
		MROH7-TTC4
		MARS
		BTD
		SNRNP200
		GFRAL
		FBXO18
		POU2F1
		STARD7
		SHMT2
		PNP
FC_III-IV_0.txt TC_V-VI_0.txt	33	EHF
		DDX5
		SLC12A8
		GPC5
		RFTN1
		TPCN1
		LOC401261
		SIPA1L2
		EMC3
		SLC25A18
		TMEM47
		ANTXR1
		PRR15L
		MTMR10
		FRMPD2
		CKS2
		ADHFE1
		ACSBG1
		SEPT2
		RIBC2
		PRPF8
		TMEM198B
		FMO5
		OR56B1
		TARDBP
		CLSPN
		SSPN
		CTDNEP1
		COL24A1
		EIF4G2
		LRAT
		HIST1H4A
		RPL14
EC_III-IV_0.txt	297	SMNDC1
		OR4P4
		ZNF684
		CNPY2
		ANKRA2
		RPL10A
		NCF4
		NT5DC1
		ATP13A1
		DAZAP1
		MAATS1
		LILRB2
		SPTLC1
		OR5AS1
		CTNNBL1
		ZBTB34
		CD2BP2
		SLC22A4
		POLG2
		C19orf53
		DMC1
		ILF2
		SLC39A14
		ZNF454
		DEFB1
		PKD2
		TMEM86A
		CPLX4
		CYP2U1
		CA11
		C1orf101
		OR5AU1
		C1orf174
		HIST3H3
		MYO6
		IPO4
		R3HDM4
		GPR75-ASB3
		CABP5
		JTB
		CEP170B
		PTHLH
		MAP3K14
		SCP2
		PPP6R1
		FANCL
		TMEM35B
		SUPT5H
		RSRC1
		CDC42BPA
		PRSS58
		EFHC1
		quinone
		LRFN3
		PHF7
		TAF10
		MYO5C
		SPICE1
		PACS2
		COLGALT2
		CITED1
		DNAJA3
		GLA
		DCLRE1B
		GLB1L
		C11orf58
		MYL6
		GABRG1
		FRYL
		Drosophila
		FAM175A
		ARMC6
		CBX6
		MCTS2P
		JADE1
		TERB1
		AGO4
		CLCA1
		COG2
		HCK
		PNLIP
		OR5K1
		OR8I2
		NPHP3-ACAD11
		GJB5
		TRPV2
		POC1B-GALNT4
		OR6N2
		AP2A1
		CTSB
		ZFP36
		DDX39A
		SAMD10
		MYF5
		MPV17L2
		NSD1
		BLM
		RAB23
		SCRN1
		SSMEM1
		RCAN1
		CSNK1G2
		SLC50A1
		RHCE
		TAC3
		HBP1
		CECR5
		STX11
		TPRXL
		SECTM1
		TAS2R7
		KIAA0319L
		XKRX
		PTGS2
		TRAPPC5
		HNRNPK
		HAS2
		ZNF644
		KDM6B
		CMKLR1
		THG1L
		INMT-FAM188B
		LOC100130207
		STRAP
		PTPN14
		CLIC5
		FAM122B
		CSNK1D
		TRIB1
		CDK16
		FBXL5
		PAPD4
		E2F5
		KY
		ZWINT
		PER3
		LOC100131492
