Names	total	elements
MTG_GSE5281 TC_GSE118553 TC_GSE131617	15	GRPEL1
		HIST1H2AC
		HIST1H2AB
		PLP1
		GALNT12
		ORMDL2
		SFT2D1
		CASQ2
		TRIL
		SLC27A1
		SLCO1A2
		NFASC
		OPTN
		PCDH10
		GABARAPL2
MTG_GSE5281 TC_GSE118553	361	RPS11
		RALYL
		MYO9B
		CCDC97
		PPCS
		TMEM184A
		C15orf41
		CD1A
		GFPT2
		KCNC1
		ETNK2
		APOE
		LCMT1
		PLCL2
		FCN1
		TIMM22
		TACR1
		SLITRK4
		MAN2B1
		ABHD12
		GLG1
		CLDN6
		MUTYH
		ARAP1
		TDRKH
		TENC1
		GALR2
		ZNF667
		ZAN
		NENF
		DTNB
		C1QBP
		SEMA3G
		LXN
		KIF4A
		WDR16
		TLX1
		GPR62
		OLR1
		SEPHS1
		TCF19
		FGF12
		GCGR
		SOST
		KIAA0368
		CDKN2B
		IL10RB
		ALPK1
		APOBEC3F
		C9orf135
		PANK3
		GYLTL1B
		PDE6G
		GALNT10
		KRT9
		LALBA
		F13A1
		CXCR1
		MMP8
		NTRK2
		SP110
		IL10
		PXMP4
		SHQ1
		PADI4
		KLHDC3
		GBE1
		PRC1
		CREB1
		KCNA3
		ZDHHC20
		UBOX5
		GIF
		CCDC136
		SNCG
		KIAA1731
		MT1F
		TOMM5
		RNF10
		ZNF660
		KRTAP4-7
		C3orf65
		FOXH1
		AKAP8
		HADHA
		PLA2G16
		ZNF689
		TLE4
		SPRED2
		SLIT2
		SLC30A3
		CRLF2
		SERPINA3
		MAGED1
		TNPO2
		CALCOCO1
		ZNF682
		AOX1
		YIPF3
		CHST3
		RFX2
		GMPR2
		ATOX1
		ZNF554
		ATXN7L1
		ECHDC1
		BCO2
		MSL3
		CCR9
		FBXO27
		YOD1
		RALY
		HTR2C
		KIFAP3
		PRTFDC1
		TIPARP
		KIF11
		LRRC37A2
		GNG10
		PAX9
		STMN3
		TEX261
		N4BP2
		PIWIL1
		LHX5
		TRPC7
		CRHR2
		GLP1R
		SIM1
		ABTB2
		RNF19B
		ARSB
		MPP2
		VPS33B
		RBX1
		MCAM
		RDH16
		CENPN
		MTUS1
		TMEM154
		EPOR
		TGDS
		CLK1
		KRT14
		TYW3
		ANAPC11
		ERP29
		HIVEP2
		HOXC12
		USP21
		SERPINB1
		RPL3L
		OPRD1
		COMMD10
		GYPB
		JSRP1
		ABHD3
		SURF6
		GLB1L3
		NIT2
		GPD2
		CDV3
		LYRM4
		CSRP2
		PTPLAD2
		MIOS
		KITLG
		CTSH
		HAS1
		TFPI2
		TRAP1
		KBTBD7
		UBC
		PTPLA
		UGT2B17
		TMEM39A
		ACSBG2
		IQCF2
		KCNA1
		LAIR1
		ASCL5
		HNRNPR
		OR52D1
		POGZ
		MT3
		FAM47B
		ZNF467
		ZNF549
		KRT37
		AGGF1
		MMP20
		VAMP4
		DGKD
		FAM83H
		KLHL9
		OPA1
		PROX1
		LCN1
		MRPS28
		PFKFB1
		NHLH2
		GNRH1
		LRRC42
		PRMT8
		MAP1LC3B
		ENTPD2
		LAMC3
		ARHGAP12
		GCNT2
		ZFPL1
		CNTN5
		SLC7A11
		EVX1
		PYROXD1
		NUF2
		ATP2A3
		CXCL17
		PPIL3
		NXN
		IFNA7
		HMGN2
		GJD4
		RBM45
		TNFSF11
		RAX2
		MTMR4
		SLC25A17
		KIRREL2
		AMMECR1L
		GABRD
		NRGN
		IFNW1
		CYP3A43
		SHB
		NTF3
		TMEM97
		COL16A1
		TTC22
		TFPI
		HTR1D
		PQLC1
		P4HA1
		C4orf6
		RPS6KA1
		ADAM17
		CHRNA3
		NDRG4
		RASSF8
		AGPAT5
		ERI3
		AGXT
		TMEM192
		GPR68
		FUK
		BEND3
		WDYHV1
		P2RX7
		PSAPL1
		BCL10
		HGFAC
		CEBPE
		TRIM68
		LTV1
		TMEM130
		NBAS
		C1R
		TBC1D14
		TRIM22
		UBE2E3
		GPR116
		MPPE1
		KIAA1683
		TTTY12
		KCNA2
		EXOC6B
		SWAP70
		FOXC1
		LSM14A
		IGSF1
		HIST1H4G
		MYEF2
		COPZ1
		FOXD3
		PODXL2
		CACNA1B
		PPIG
		ZP1
		SMAGP
		CCL27
		TRAPPC2L
		NBPF20
		GSTO2
		HSPB2
		LYST
		UQCRFS1
		PRUNE
		SOX3
		TMC8
		HIGD1A
		ZFPM1
		BTBD2
		KYNU
		KCNC3
		LOR
		TBKBP1
		TBX1
		CIDEC
		DHTKD1
		ATF5
		DDA1
		FOXN4
		PRKAG3
		PRSS3
		IL3
		ILF3
		FMO1
		ZNF629
		KARS
		LTB4R
		CREB5
		ITGB1BP1
		RORA
		FBXL15
		CD24
		KIF2B
		BTC
		SDPR
		CCKAR
		KHDRBS3
		RIPK1
		MICAL3
		CELSR1
		CHRND
		POLN
		KIF15
		SPATS1
		CENPV
		MST4
		OAF
		BEST2
		C6orf132
		PSG6
		TMEM55A
		SLC34A2
		RNMTL1
		LILRA3
		HIVEP3
		SF3B4
		ALKBH8
		GIPC1
		VIPR1
		HIST1H3A
		TMSB4X
		CAPN7
		DCP1B
		ABHD6
		FAM160A1
		GORASP1
		TTC30A
		FAM166A
		MPST
MTG_GSE5281 TC_GSE131617	54	LAGE3
		LGR5
		NCSTN
		STX5
		LOC100128922
		DGKA
		NKX2-2
		HIST1H4A
		PTGER3
		IRS4
		MUSK
		DSCAML1
		C8orf48
		PLXNB1
		ZDHHC4
		ABI3BP
		ACSS1
		MS4A1
		NIFK
		MRPL3
		PATZ1
		AQP1
		SOCS2
		CAMKK2
		EIF3K
		CLEC4A
		OAZ1
		GPC5
		CLTA
		UTS2B
		DHRS7
		RBPJ
		PTGS2
		C1QTNF7
		NLGN3
		CREM
		EID1
		MRPS16
		PCDH17
		ABCA9
		GUK1
		PRELP
		EHF
		COL21A1
		CTSV
		ZNF281
		SMIM12
		MEGF9
		PLEKHH2
		WDR25
		LIMCH1
		TNFAIP8
		GATAD2B
		ARMCX2
TC_GSE118553 TC_GSE131617	196	VPS4A
		GFOD2
		CCT8L2
		CACNG5
		BUD31
		ALAD
		QKI
		AHCYL2
		MAD2L1
		EIF4A3
		MT1G
		HRH2
		ERMAP
		MYF5
		EIF3D
		C1orf115
		INPP5B
		TAL2
		GCH1
		CSNK2A2
		DEFA5
		MCAT
		AMOTL2
		USP51
		PQLC3
		CKS2
		WFS1
		ABCD3
		GPIHBP1
		SPAG5
		SRP14
		PIK3C2B
		TMEM182
		ADHFE1
		SP140
		ID2
		CANT1
		MED31
		TACR3
		C14orf119
		JUP
		TRAF3IP3
		NONO
		DOK5
		ADCY2
		CFDP1
		MASP1
		S100A12
		SLC13A3
		HIST3H2BB
		ARID1A
		TRIM62
		RHBDD1
		KLF3
		LCE1F
		ESM1
		TM9SF1
		GPR107
		ZCCHC4
		RPL12
		ETS2
		CYP4F3
		SELE
		IL17A
		PLA1A
		HIST1H2BB
		GPR141
		DPYSL5
		C1orf87
		SCARB1
		H2AFZ
		ARFIP2
		F8
		LSS
		EXOSC1
		SLC5A6
		NQO1
		TUBGCP2
		NBPF10
		NOB1
		GDI2
		COBL
		KCTD7
		FABP4
		HIPK2
		PNO1
		POP5
		MARS
		GPRC5B
		KHDRBS1
		HEYL
		HHATL
		BIRC3
		CD2BP2
		RPS5
		YEATS4
		CLCC1
		DDB2
		PIN1
		TPCN1
		PSMD3
		NAG18
		MFAP5
		NR2C2
		CARS
		ASXL2
		PLA2G6
		SERTAD1
		BMP7
		PIK3C2G
		OR3A1
		ZWINT
		FHL5
		ART4
		DAG1
